order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Introduction to GitHub,Introduction to Git,intro/intro-to-git,git,/lessons/intro/intro-to-git,""
01B,Introduction to GitHub,Version Control,intro/version-control,git,/lessons/intro/version-control,""
01C,Introduction to GitHub,Shell Commands Refresher,intro/basic-shell-commands,git,/lessons/intro/basic-shell-commands,""
01D,Introduction to GitHub,Setting up Git Configuration,intro/setup-git,git,/lessons/intro/setup-git,""
01E,Introduction to GitHub,Innitialize a Git Repository,intro/init-repo,git,/lessons/intro/init-repo,""
01F,Introduction to GitHub,Basic Git Commands,intro/basic-git-commands,git,/lessons/intro/basic-git-commands,""
02A,Introduction to GitHub,Intro to Github,github/intro-to-github,github-square,/lessons/github/intro-to-github,""
02B,Introduction to GitHub,Push to Github,github/push-to-github,github-square,/lessons/github/push-to-github,""
02C,Introduction to GitHub,Clone Pull Repo,github/clone-pull-repo,github-square,/lessons/github/clone-pull-repo,""
02D,Introduction to GitHub,Ssh Keys,github/ssh-keys,github-square,/lessons/github/ssh-keys,""
02E,Introduction to GitHub,Tic Tac Toe 1,github/tic-tac-toe-1,github-square,/lessons/github/tic-tac-toe-1,""
03A,Markdown Basics,What is Markdown?,markdown/intro-to-markdown,markdown,/lessons/markdown/intro-to-markdown,""
03B,Markdown Basics,Markdown Basics,markdown/markdown-basics,markdown,/lessons/markdown/markdown-basics,""
03C,Markdown Basics,Readme,markdown/readme,markdown,/lessons/markdown/readme,""
03D,Markdown Basics,Obsidian,markdown/obsidian,markdown,/lessons/markdown/obsidian,""
03E,Markdown Basics,Github Pages,markdown/github-pages,markdown,/lessons/markdown/github-pages,""
03F,Markdown Basics,Other Use Cases,markdown/other-use-cases,markdown,/lessons/markdown/other-use-cases,""
04A,Beyond Basics of Git,.gitignore,beyond-basics/.gitignore,git-alt,/lessons/beyond-basics/.gitignore,""
